valore,anno,mese
47,1901,1
73.39814,1901,2
117.17023,1901,3
48.61628,1901,4
61.833954,1901,5
69.22558,1901,6
64.985115,1901,7
54.591164,1901,8
113.20326,1901,9
144.9935,1901,10
99.501396,1901,11
126.82698,1901,12
79.62325,1902,1
131.94743,1902,2
65.8921,1902,3
76.019066,1902,4
84.29024,1902,5
55.53721,1902,6
35.77535,1902,7
46.10186,1902,8
59.90558,1902,9
160.38744,1902,10
95.208374,1902,11
75.09023,1902,12
50.3,1903,1
33.768837,1903,2
63.534416,1903,3
87.28558,1903,4
59.296276,1903,5
90.64186,1903,6
58.502327,1903,7
27.32186,1903,8
36.663258,1903,9
113.46698,1903,10
109.61349,1903,11
167.91675,1903,12
94.04837,1904,1
91.985115,1904,2
116.29116,1904,3
77.485115,1904,4
39.575813,1904,5
57.847443,1904,6
21.000465,1904,7
62.72,1904,8
88.96837,1904,9
110.45907,1904,10
87.42,1904,11
77.900925,1904,12
70.31674,1905,1
83.586044,1905,2
81.38139,1905,3
75.35628,1905,4
115.109764,1905,5
57.342793,1905,6
60.46,1905,7
82.491165,1905,8
72.07581,1905,9
111.58836,1905,10
164.79628,1905,11
61.07302,1905,12
80.407906,1906,1
94.81674,1906,2
74.05675,1906,3
81.10512,1906,4
79.05442,1906,5
52.28186,1906,6
57.890236,1906,7
35.48651,1906,8
69.64698,1906,9
94.354416,1906,10
122.021866,1906,11
113.66884,1906,12
83.44325,1907,1
59.13023,1907,2
41.810696,1907,3
94.97256,1907,4
53.349304,1907,5
61.673485,1907,6
40.16,1907,7
32.387905,1907,8
86.9279,1907,9
189.15115,1907,10
84.75488,1907,11
106.01675,1907,12
40.992558,1908,1
38.42791,1908,2
81.60419,1908,3
94.13674,1908,4
39.894882,1908,5
46.74465,1908,6
70.22652,1908,7
67.71442,1908,8
44.094418,1908,9
70.907906,1908,10
82.916275,1908,11
108.38419,1908,12
57.521393,1909,1
76.56605,1909,2
103.0293,1909,3
37.706978,1909,4
56.3986,1909,5
65.76093,1909,6
37.819534,1909,7
78.442795,1909,8
98.65767,1909,9
86.66698,1909,10
94.76232,1909,11
96.60093,1909,12
67.30373,1910,1
79.36372,1910,2
70.849304,1910,3
89.860466,1910,4
