valore,anno,mese
2.5241861,1901,1
1.672093,1901,2
6.94,1901,3
10.744186,1901,4
13.494884,1901,5
18.894884,1901,6
20.843256,1901,7
20.506977,1901,8
17.899534,1901,9
13.485582,1901,10
7.4586043,1901,11
5.9627905,1901,12
4.559535,1902,1
6.029302,1902,2
7.3539534,1902,3
11.756279,1902,4
11.529303,1902,5
16.899069,1902,6
21.258604,1902,7
20.871628,1902,8
18.172092,1902,9
13.281395,1902,10
7.468837,1902,11
4.5483723,1902,12
3.8306975,1903,1
5.245116,1903,2
7.8599997,1903,3
8.232558,1903,4
14.216743,1903,5
16.56093,1903,6
20.097675,1903,7
20.769768,1903,8
17.93628,1903,9
13.884186,1903,10
8.475814,1903,11
5.997209,1903,12
4.3813953,1904,1
6.2153487,1904,2
7.5269766,1904,3
11.324652,1904,4
15.324186,1904,5
19.40372,1904,6
22.34279,1904,7
21.173023,1904,8
16.338139,1904,9
12.913023,1904,10
6.9046507,1904,11
5.088837,1904,12
1.2451162,1905,1
3.0832558,1905,2
7.612558,1905,3
10.490698,1905,4
13.432093,1905,5
17.86372,1905,6
22.225582,1905,7
21.125582,1905,8
18.771627,1905,9
10.590233,1905,10
9.396745,1905,11
5.4460464,1905,12
3.6269767,1906,1
3.56,1906,2
6.8060465,1906,3
9.853953,1906,4
13.766977,1906,5
17.918606,1906,6
20.633953,1906,7
21.179535,1906,8
16.852558,1906,9
13.62186,1906,10
9.694418,1906,11
3.8934884,1906,12
2.1693025,1907,1
2.8330233,1907,2
4.9390697,1907,3
8.7190695,1907,4
14.91628,1907,5
18.196743,1907,6
19.724651,1907,7
21.33907,1907,8
18.144651,1907,9
15.248837,1907,10
9.17721,1907,11
6.656279,1907,12
3.3372092,1908,1
4.576744,1908,2
6.0781393,1908,3
8.577674,1908,4
16.34,1908,5
18.66,1908,6
20.390697,1908,7
20.113955,1908,8
16.585583,1908,9
13.437208,1908,10
7.050233,1908,11
4.51814,1908,12
2.484186,1909,1
1.9795349,1909,2
6.3423257,1909,3
11.093023,1909,4
14.214884,1909,5
17.149769,1909,6
19.288372,1909,7
20.49535,1909,8
17.144651,1909,9
14.201395,1909,10
7.7725577,1909,11
7.1832557,1909,12
4.5083723,1910,1
5.550233,1910,2
7.2,1910,3
10.057674,1910,4
13.04279,1910,5
17.92093,1910,6
18.994884,1910,7
20.089302,1910,8
15.696279,1910,9
14.08,1910,10
7.7055817,1910,11
7.4018607,1910,12
2.591163,1911,1
3.3576744,1911,2
7.23907,1911,3
9.638605,1911,4
13.84093,1911,5
17.861395,1911,6
21.649769,1911,7
22.278141,1911,8
18.658138,1911,9
13.85721,1911,10
10.523721,1911,11
6.952558,1911,12
4.8288374,1912,1
7.247907,1912,2
9.066977,1912,3
8.916279,1912,4
14.49814,1912,5
18.027906,1912,6
20.732557,1912,7
19.253489,1912,8
14.573954,1912,9
12.276279,1912,10
6.2939534,1912,11
5.490698,1912,12
4.7534885,1913,1
3.9506977,1913,2
8.171163,1913,3
10.101396,1913,4
14.097674,1913,5
18.484652,1913,6
18.643255,1913,7
19.81814,1913,8
18.195349,1913,9
14.350232,1913,10
10.192093,1913,11
5.3930235,1913,12
1.7451162,1914,1
5.679535,1914,2
7.9730234,1914,3
11.7213955,1914,4
13.959536,1914,5
17.048838,1914,6
19.732557,1914,7
20.34279,1914,8
16.955814,1914,9
12.267442,1914,10
7.963721,1914,11
6.4,1914,12
4.114419,1915,1
4.340465,1915,2
6.8102326,1915,3
9.816278,1915,4
15.553488,1915,5
19.004185,1915,6
20.574884,1915,7
20.08186,1915,8
16.022326,1915,9
11.684651,1915,10
7.555814,1915,11
7.898139,1915,12
4.8772097,1916,1
5.431163,1916,2
8.46,1916,3
10.728838,1916,4
15.153488,1916,5
18.424187,1916,6
20.89349,1916,7
20.201395,1916,8
16.047441,1916,9
12.956744,1916,10
9.371162,1916,11
7.002791,1916,12
3.6060467,1917,1
3.0339534,1917,2
5.917209,1917,3
8.732558,1917,4
15.317209,1917,5
19.678604,1917,6
20.86465,1917,7
21.52,1917,8
19.262325,1917,9
12.92465,1917,10
7.622326,1917,11
3.5079072,1917,12
3.888372,1918,1
4.024186,1918,2
6.6274424,1918,3
9.969302,1918,4
14.606047,1918,5
16.620464,1918,6
20.53442,1918,7
20.149769,1918,8
19.342325,1918,9
12.272093,1918,10
8.114419,1918,11
5.6897674,1918,12
5.1586046,1919,1
4.3451166,1919,2
7.313488,1919,3
9.471163,1919,4
12.581861,1919,5
18.372559,1919,6
19.032558,1919,7
21.309767,1919,8
18.715815,1919,9
11.531628,1919,10
7.6065116,1919,11
4.7372093,1919,12
5.9288373,1920,1
6.1186047,1920,2
8.581396,1920,3
11.259535,1920,4
17.154419,1920,5
18.126047,1920,6
21.475813,1920,7
20.353024,1920,8
18.172092,1920,9
12.935814,1920,10
7.543256,1920,11
6.043721,1920,12
6.255349,1921,1
5.000465,1921,2
7.750697,1921,3
9.523256,1921,4
15.397209,1921,5
17.637674,1921,6
21.890232,1921,7
21.237675,1921,8
18.39535,1921,9
14.858139,1921,10
7.8172097,1921,11
4.7372093,1921,12
3.3944187,1922,1
4.4502325,1922,2
8.913488,1922,3
10.152093,1922,4
15.782326,1922,5
19.19907,1922,6
20.615814,1922,7
22.092558,1922,8
16.638605,1922,9
12.785582,1922,10
6.655349,1922,11
4.7460465,1922,12
3.690698,1923,1
5.372558,1923,2
7.4013953,1923,3
10.189302,1923,4
15.250697,1923,5
15.762326,1923,6
21.799068,1923,7
22.07721,1923,8
17.702791,1923,9
14.775813,1923,10
10.374418,1923,11
5.1493025,1923,12
2.836744,1924,1
3.811163,1924,2
6.9041862,1924,3
10.887442,1924,4
16.43907,1924,5
18.98,1924,6
21.36186,1924,7
19.325115,1924,8
19.025581,1924,9
13.526976,1924,10
8.584186,1924,11
6.143256,1924,12
4.8172092,1925,1
6.4046507,1925,2
5.616744,1925,3
10.423256,1925,4
14.133954,1925,5
18.81907,1925,6
20.24744,1925,7
21.02465,1925,8
16.972559,1925,9
13.828837,1925,10
8.973023,1925,11
4.188372,1925,12
3.9306977,1926,1
7.466977,1926,2
7.7772093,1926,3
11.404186,1926,4
13.128372,1926,5
16.665117,1926,6
19.563255,1926,7
20.039536,1926,8
19.647442,1926,9
15.013954,1926,10
12.212558,1926,11
5.0990696,1926,12
4.6786046,1927,1
3.9051163,1927,2
8.341395,1927,3
11,1927,4
15.130697,1927,5
19.797674,1927,6
21.64,1927,7
21.808838,1927,8
18.39349,1927,9
13.294884,1927,10
10.622326,1927,11
5.9976745,1927,12
5.0604653,1928,1
5.343256,1928,2
6.963256,1928,3
11.110698,1928,4
12.756279,1928,5
18.781395,1928,6
23.121395,1928,7
23.003256,1928,8
18.467907,1928,9
13.712558,1928,10
9.346976,1928,11
4.155814,1928,12
1.5139534,1929,1
0.37581396,1929,2
6.545581,1929,3
9.277674,1929,4
15.247441,1929,5
19.234419,1929,6
21.759535,1929,7
20.81814,1929,8
18.889767,1929,9
13.907442,1929,10
9.544651,1929,11
6.2400002,1929,12
5.5251164,1930,1
4.5018606,1930,2
8.349768,1930,3
10.643721,1930,4
13.535814,1930,5
19.938604,1930,6
20.96651,1930,7
20.446512,1930,8
18.38372,1930,9
13.014418,1930,10
10.007907,1930,11
5.7976747,1930,12
4.8060465,1931,1
4.231628,1931,2
6.915349,1931,3
9.311163,1931,4
15.050697,1931,5
20.56093,1931,6
21.463255,1931,7
21.127441,1931,8
15.451628,1931,9
13.070697,1931,10
9.735814,1931,11
4.367442,1931,12
4.807907,1932,1
1.7018604,1932,2
5.8483725,1932,3
9.238605,1932,4
13.975813,1932,5
16.826977,1932,6
19.93628,1932,7
21.952093,1932,8
20.57721,1932,9
14.555348,1932,10
9.839535,1932,11
7.492093,1932,12
3.7655816,1933,1
4.60093,1933,2
7.292093,1933,3
10.381395,1933,4
13.028837,1933,5
15.571628,1933,6
20.496279,1933,7
21.11814,1933,8
17.836744,1933,9
14.526047,1933,10
8.961395,1933,11
3.4981396,1933,12
3.988837,1934,1
4.9097676,1934,2
7.752558,1934,3
11.760466,1934,4
15.56093,1934,5
18.109768,1934,6
21.10279,1934,7
20.127907,1934,8
18.166512,1934,9
13.312093,1934,10
9.446977,1934,11
7.3060465,1934,12
1.9772093,1935,1
4.5944185,1935,2
6.357209,1935,3
9.833023,1935,4
12.6516285,1935,5
19.727442,1935,6
21.42093,1935,7
20.447906,1935,8
18.202326,1935,9
14.618139,1935,10
10.264651,1935,11
5.707907,1935,12
7.395814,1936,1
5.756744,1936,2
8.730698,1936,3
10.434884,1936,4
13.977209,1936,5
17.36465,1936,6
20.82186,1936,7
20.342325,1936,8
17.66558,1936,9
10.943255,1936,10
8.546976,1936,11
5.6832557,1936,12
4.52,1937,1
6.7246513,1937,2
7.593488,1937,3
10.219999,1937,4
14.964651,1937,5
19.432093,1937,6
20.724651,1937,7
20.544651,1937,8
17.414417,1937,9
13.854884,1937,10
9.389768,1937,11
4.793023,1937,12
3.3976746,1938,1
4.159535,1938,2
8.16093,1938,3
8.14186,1938,4
12.69628,1938,5
19.462791,1938,6
20.891163,1938,7
20.677675,1938,8
17.274883,1938,9
14.165581,1938,10
9.986047,1938,11
5.303721,1938,12
5.8106976,1939,1
6.27907,1939,2
5.1032557,1939,3
11.087442,1939,4
11.803255,1939,5
17.636745,1939,6
21.133488,1939,7
20.982327,1939,8
17.274418,1939,9
13.399534,1939,10
9.555349,1939,11
5.255349,1939,12
2.0130231,1940,1
4.2334886,1940,2
6.8725576,1940,3
10.024652,1940,4
13.728838,1940,5
16.772093,1940,6
19.387907,1940,7
19.133022,1940,8
17.805117,1940,9
13.689768,1940,10
9.609767,1940,11
2.0976744,1940,12
3.5981395,1941,1
5.415814,1941,2
7.757674,1941,3
9.438139,1941,4
12.333488,1941,5
18.486511,1941,6
21.467907,1941,7
20.54279,1941,8
16.40279,1941,9
12.58279,1941,10
7.708837,1941,11
4.1576743,1941,12
0.54976743,1942,1
2.8260465,1942,2
7.964186,1942,3
10.727442,1942,4
15.174884,1942,5
19.116743,1942,6
21.28651,1942,7
20.96186,1942,8
19.967907,1942,9
15.413488,1942,10
8.286512,1942,11
6.678605,1942,12
3.1106977,1943,1
6.112558,1943,2
8.2362795,1943,3
11.7190695,1943,4
15.078604,1943,5
18.297674,1943,6
21.526512,1943,7
22.71814,1943,8
20.143255,1943,9
15.22186,1943,10
8.434884,1943,11
6.8069773,1943,12
4.1246514,1944,1
3.3186047,1944,2
5.015349,1944,3
11.40093,1944,4
15.02186,1944,5
18.611164,1944,6
20.85721,1944,7
22.703722,1944,8
18.352558,1944,9
13,1944,10
8.131628,1944,11
4.592093,1944,12
0.927907,1945,1
4.773023,1945,2
7.885581,1945,3
12.018604,1945,4
16.78186,1945,5
20.909302,1945,6
23.207907,1945,7
21.496279,1945,8
18.466976,1945,9
12.887442,1945,10
